,name,param,proto_name,spacegroup,species,wyckoffs,proto_compo,name_short
316.0,17386-21835-SiO2,"{'a': 12.549438, 'b': 0.8355854660583207, 'xi0': 0.804685, 'yi0': 0.30451599999999995, 'zi0': 0.3679800000000001, 'xi1': 0.340321, 'yi1': -2.3000000000050758e-05, 'zi1': 0.24994800000000011, 'xh3': 0.25815049999999995, 'yh3': 0.7578874999999999, 'xi4': 0.9323494999999999, 'yi4': 0.27553149999999993, 'zi4': 0.3572135000000001, 'xi5': 0.7757105, 'yi5': 0.4322165, 'zi5': 0.35735150000000016, 'xi6': 0.9146979999999999, 'yi6': 0.41470699999999994, 'zi6': 0.17195900000000008}",AB2_16_i2_fhi3_87,87,"['Si', 'Si', 'O', 'O', 'O', 'O', 'O']","['i', 'i', 'f', 'h', 'i', 'i', 'i']",AB2,SiO2
448.0,28355-55717-Tl2S,"{'a': 9.58460342557213, 'b': 1.0000636452143985, 'c': 1.0000651656460509, 'alpha': 81.67268769682518, 'beta': 81.67566457391005, 'gamma': 81.67268005713213, 'xa0': 0.9780909999999999, 'ya0': 0.6407849999999999, 'za0': 0.319163, 'xa1': 0.969271, 'ya1': 0.9692609999999999, 'za1': 0.969262, 'xa2': 0.687958, 'ya2': 0.6878929999999999, 'za2': 0.687924, 'xa3': 0.6879040000000001, 'ya3': 0.015472000000000017, 'za3': 0.3433010000000001, 'xa4': 0.640798, 'ya4': 0.31919, 'za4': 0.978035, 'xa5': 0.355425, 'ya5': 0.35537699999999994, 'za5': 0.35544700000000007, 'xa6': 0.34328899999999996, 'ya6': 0.6879199999999999, 'za6': 0.015475000000000072, 'xa7': 0.31919600000000004, 'ya7': 0.9780779999999999, 'za7': 0.6407540000000002, 'xa8': 0.015476000000000045, 'ya8': 0.343355, 'za8': 0.6879550000000001, 'xa9': 0.995939, 'ya9': 0.6531819999999999, 'za9': 0.628964, 'xa10': 0.9923919999999999, 'ya10': 0.9537369999999998, 'za10': 0.280635, 'xa11': 0.9537469999999999, 'ya11': 0.280643, 'za11': 0.992352, 'xa12': 0.7051299999999999, 'ya12': 0.376337, 'za12': 0.672327, 'xa13': 0.672307, 'ya13': 0.7051009999999999, 'za13': 0.3763520000000001, 'xa14': 0.664245, 'ya14': 0.32622199999999996, 'za14': 0.2915130000000001, 'xa15': 0.661378, 'ya15': 0.009049, 'za15': 0.03223300000000003, 'xa16': 0.653189, 'ya16': 0.6289499999999999, 'za16': 0.995965, 'xa17': 0.6289529999999999, 'ya17': 0.9959579999999999, 'za17': 0.653195, 'xa18': 0.37636099999999995, 'ya18': 0.6723229999999999, 'za18': 0.7051160000000001, 'xa19': 0.374324, 'ya19': 0.04398700000000001, 'za19': 0.33542600000000006, 'xa20': 0.335411, 'ya20': 0.37433299999999997, 'za20': 0.044009000000000076, 'xa21': 0.326183, 'ya21': 0.291531, 'za21': 0.6642270000000001, 'xa22': 0.291513, 'ya22': 0.6642309999999999, 'za22': 0.32622500000000004, 'xa23': 0.280647, 'ya23': 0.9923849999999999, 'za23': 0.9537330000000002, 'xa24': 0.043995000000000006, 'ya24': 0.33540499999999995, 'za24': 0.3743530000000001, 'xa25': 0.03222899999999995, 'ya25': 0.6614249999999999, 'za25': 0.009090000000000108, 'xa26': 0.009050000000000002, 'ya26': 0.03226900000000003, 'za26': 0.6613710000000002}",AB2_9_a9_a18_1,1,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'Tl', 'Tl', 'Tl', 'Tl', 'Tl', 'Tl', 'Tl', 'Tl', 'Tl', 'Tl', 'Tl', 'Tl', 'Tl', 'Tl', 'Tl', 'Tl', 'Tl', 'Tl']","['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']",AB2,Tl2S
1012.0,27956-44506-CdI2,"{'a': 7.433561553607395, 'b': 0.5773552755520672, 'c': 8.441540124520328, 'beta': 90.00720811693175, 'xa0': 0.33334300000000006, 'za0': 0.027889, 'xa1': -9.999999999732445e-07, 'za1': 0.13888, 'xa2': 0.3333425000000001, 'za2': 0.249994, 'xa3': -9.999999999732445e-07, 'za3': 0.361091, 'xa4': -9.999999999732445e-07, 'za4': 0.472186, 'xa5': 0.3333245, 'za5': 0.583244, 'xa6': -9.999999999732445e-07, 'za6': 0.694336, 'xa7': -9.999999999732445e-07, 'za7': 0.805544, 'xa8': 0.333342, 'za8': 0.916754, 'xa9': -9.999999999732445e-07, 'za9': 0.000257, 'xa10': 0.666679, 'za10': 0.05522, 'xa11': 0.3333100000000001, 'za11': 0.111431, 'xa12': 0.666643, 'za12': 0.166406, 'xa13': -9.999999999732445e-07, 'za13': 0.22253, 'xa14': 0.666677, 'za14': 0.277487, 'xa15': 0.3333600000000001, 'za15': 0.333617, 'xa16': 0.6666895, 'za16': 0.388587, 'xa17': 0.3333115000000001, 'za17': 0.444721, 'xa18': 0.666645, 'za18': 0.499705, 'xa19': -9.999999999732445e-07, 'za19': 0.555894, 'xa20': 0.666676, 'za20': 0.610843, 'xa21': 0.3333455000000001, 'za21': 0.667005, 'xa22': 0.6666895, 'za22': 0.721984, 'xa23': 0.33331100000000013, 'za23': 0.778079, 'xa24': 0.6666585, 'za24': 0.833048, 'xa25': -9.999999999732445e-07, 'za25': 0.88916, 'xa26': 0.666678, 'za26': 0.94411}",AB2_9_a9_a18_8,8,"['Cd', 'Cd', 'Cd', 'Cd', 'Cd', 'Cd', 'Cd', 'Cd', 'Cd', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I']","['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']",AB2,CdI2
1145.0,1787-3538-PdSe2,"{'a': 5.825844, 'b': 1.020220932795317, 'c': 1.328296981518901, 'xc1': 0.611865, 'yc1': 0.118394, 'zc1': 0.094533}",AB2_4_a_c_61,61,"['Pd', 'Se']","['a', 'c']",AB2,PdSe2
567.0,27796-40252-CdI2,"{'a': 4.3038027905698275, 'c': 9.651478011731555, 'za0': 0.04095900000000001, 'za1': 0.20745700000000006, 'za2': 0.5366270000000001, 'za3': 0.8723850000000002, 'zb4': 0.6370460000000001, 'zc5': 0.37201600000000007, 'za6': 0.4139190000000001, 'za7': 0.6733640000000001, 'zb8': 0.00017800000000000002, 'zb9': 0.16676200000000002, 'zb10': 0.33137600000000006, 'zb11': 0.4967340000000001, 'zb12': 0.8312410000000002, 'zc13': 0.08295400000000001, 'zc14': 0.24934100000000006, 'zc15': 0.5833620000000002, 'zc16': 0.7399180000000001, 'zc17': 0.9143620000000002}",AB2_6_a4bc_a2b5c5_156,156,"['Cd', 'Cd', 'Cd', 'Cd', 'Cd', 'Cd', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I']","['a', 'a', 'a', 'a', 'b', 'c', 'a', 'a', 'b', 'b', 'b', 'b', 'b', 'c', 'c', 'c', 'c', 'c']",AB2,CdI2
722.0,13212-17255-Mg2G,"{'a': 7.83863891115744, 'c': 0.866655433040849, 'zf1': 0.035277, 'xg2': 0.28073533333333334, 'xh3': 0.6280113333333333, 'yh3': 0.021805666666666612}",AB2_6_bf_gh_190,190,"['Ga', 'Ga', 'Mg', 'Mg']","['b', 'f', 'g', 'h']",AB2,Mg2G
16.0,7637-11304-PbI2,"{'a': 4.640070870450359, 'c': 6.2526154901560975, 'za0': 0.750036, 'za1': 0.0, 'zb2': 0.250036, 'zb3': 0.499966, 'za4': 0.185598, 'za5': 0.435511, 'zb6': 0.685598, 'zb7': 0.935511, 'zc8': 0.064397, 'zc9': 0.314492, 'zc10': 0.564397, 'zc11': 0.814493}",AB2_4_a2b2_a2b2c4_156,156,"['Pb', 'Pb', 'Pb', 'Pb', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I']","['a', 'a', 'b', 'b', 'a', 'a', 'b', 'b', 'c', 'c', 'c', 'c']",AB2,PbI2
404.0,17190-21630-SiO2,"{'a': 8.668977, 'xj0': 0.14532450000000008, 'yj0': 0.9166624999999999, 'zj0': 0.6643824999999999, 'xf1': 0.7529394999999999, 'xg2': 0.8344024999999999, 'xj3': 0.08383150000000006, 'yj3': 0.7368375, 'zj3': 0.6791684999999998}",AB2_12_j_fgj_195,195,"['Si', 'O', 'O', 'O']","['j', 'f', 'g', 'j']",AB2,SiO2
795.0,3718-5663-NO2,"{'a': 7.270748, 'xd0': 0.378213, 'yg1': 0.15247, 'zg1': 0.314673}",AB2_6_d_g_204,204,"['N', 'O']","['d', 'g']",AB2,NO2
591.0,5919-8076-TaS2,"{'a': 3.3295805589189165, 'c': 5.563324170181498, 'za0': 0.833298, 'za1': 0.5844416666666667, 'za2': 0.4152606666666666}",AB2_1_a_a2_160,160,"['Ta', 'S', 'S']","['a', 'a', 'a']",AB2,TaS2
1314.0,17194-21634-SiO2,"{'a': 8.093349, 'b': 0.6758895483192433, 'xn0': 0.31300550000000005, 'yn0': 0.07055349999999994, 'xi2': 0.27179850000000005, 'xl3': 0.23187350000000007}",AB2_8_n_fil_132,132,"['Si', 'O', 'O', 'O']","['n', 'f', 'i', 'l']",AB2,SiO2
814.0,14059-18195-TiAl2,"{'a': 3.930706, 'b': 3.084459636513136, 'c': 1.0182399802987048, 'yi0': 0.6566135, 'yj3': 0.17315649999999994}",AB2_2_i_acj_65,65,"['Ti', 'Al', 'Al', 'Al']","['i', 'a', 'c', 'j']",AB2,TiAl2
1391.0,1951-3716-TaSe2,"{'a': 3.475660746020451, 'c': 7.405985186981347, 'zf2': 0.935217, 'zf3': 0.31491099999999994}",AB2_4_ab_f2_194,194,"['Ta', 'Ta', 'Se', 'Se']","['a', 'b', 'f', 'f']",AB2,TaSe2
163.0,6483-10063-TbGe2,"{'a': 4.146706, 'b': 7.478808963066106, 'c': 0.9626452900205609, 'yi0': 0.4290185, 'yj1': 0.31185850000000004, 'yi4': 0.8530515000000001, 'yi5': 0.772177, 'yj6': 0.9060335}",AB2_4_ij_aci2j_65,65,"['Tb', 'Tb', 'Ge', 'Ge', 'Ge', 'Ge', 'Ge']","['i', 'j', 'a', 'c', 'i', 'i', 'j']",AB2,TbGe2
329.0,29655-84685-TiO2,"{'a': 3.152255, 'b': 1.811310315948452, 'c': 1.2045592758200083, 'za0': 0.796041, 'zd1': 0.11307299999999998, 'za2': 0.335476, 'zb3': 0.35641599999999996, 'yh4': 0.7695529999999999, 'zh4': 0.839872}",AB2_2_ad_abh_25,25,"['Ti', 'Ti', 'O', 'O', 'O']","['a', 'd', 'a', 'b', 'h']",AB2,TiO2
1153.0,27978-44866-CdI2,"{'a': 4.289977105792661, 'c': 13.017902805260126, 'zb0': 0.031228, 'zb1': 0.65625, 'zb2': 0.281225, 'zb3': 0.90627, 'za4': 0.062182, 'za5': 0.187146, 'za6': 0.312163, 'za7': 0.437146, 'zb8': 0.5003489999999999, 'zb9': 0.125353, 'zb10': 0.75034, 'zb11': 0.375351}",AB2_8_b4_a4b4_186,186,"['Cd', 'Cd', 'Cd', 'Cd', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I']","['b', 'b', 'b', 'b', 'a', 'a', 'a', 'a', 'b', 'b', 'b', 'b']",AB2,CdI2
1422.0,3608-5534-PtCl2,"{'a': 13.359404541581268, 'c': 0.6535671939195109, 'xh0': 0.2497436666666667, 'zh0': 0.8270523333333333, 'xf1': 0.7558546666666666, 'xh2': 0.4157139999999998, 'zh2': 0.978502}",AB2_6_h_fh_166,166,"['Pt', 'Cl', 'Cl']","['h', 'f', 'h']",AB2,PtCl2
414.0,285749-657155-Co2A,"{'a': 6.748645758113137, 'c': 0.40642183607024324, 'xf2': 0.33349199999999996, 'xg3': 0.6671349999999999}",AB2_3_ac_fg_189,189,"['As', 'As', 'Co', 'Co']","['a', 'c', 'f', 'g']",AB2,Co2A
135.0,29895-92502-PbI2,"{'a': 4.636326069578622, 'c': 13.983786089975839, 'zc1': 0.44442899999999996, 'zc2': 0.362336, 'zc3': 0.7487796666666666, 'zc4': 0.14011733333333332}",AB2_3_ac_c3_166,166,"['Pb', 'Pb', 'I', 'I', 'I']","['a', 'c', 'c', 'c', 'c']",AB2,PbI2
392.0,5409-7500-TiO2,"{'a': 5.274545640846458, 'c': 1.1244153342937477, 'xa0': 0.444558, 'xc1': 0.59985, 'yc1': 0.90655, 'zc1': 0.09175}",AB2_3_a_c_152,152,"['Ti', 'O']","['a', 'c']",AB2,TiO2
656.0,17211-21653-SiO2,"{'a': 10.877631, 'b': 0.4722875780581268, 'xk0': 0.693038, 'yk0': 0.117765, 'zk0': 0.118919, 'xi2': 0.221383, 'xk3': 0.410711, 'yk3': 0.126232, 'zk3': 0.107942}",AB2_16_k_fik_126,126,"['Si', 'O', 'O', 'O']","['k', 'f', 'i', 'k']",AB2,SiO2
358.0,25541-30527-HfSn2,"{'a': 5.512245970594472, 'c': 1.3934624907842466, 'xi1': 0.8326525}",AB2_3_c_i_180,180,"['Hf', 'Sn']","['c', 'i']",AB2,HfSn2
20.0,290369-683077-TaS2,"{'a': 23.724164, 'b': 0.14060440654515793, 'c': 0.24343829354745652, 'za0': 0.9921235, 'zb1': 0.8278380000000001, 'xc2': 0.434184, 'zc2': 0.1613255, 'xc3': 0.065909, 'zc3': 0.6589430000000001}",AB2_2_ab_c2_38,38,"['Ta', 'Ta', 'S', 'S']","['a', 'b', 'c', 'c']",AB2,TaS2
1158.0,17214-21656-SiO2,"{'a': 14.299746319738531, 'c': 0.34614642033570564, 'xh0': 0.5408463333333335, 'zh0': 0.2637736666666666, 'xf3': 0.8247420000000001}",AB2_6_h_def_166,166,"['Si', 'O', 'O', 'O']","['h', 'd', 'e', 'f']",AB2,SiO2
1287.0,284440-646692-CaF2,"{'a': 3.344968, 'b': 1.2195524740445947, 'c': 1.7179419952597452, 'ya0': 0.34874550000000015, 'za0': 0.20255799999999996, 'ya1': 0.8625665, 'za1': 0.34759299999999993, 'yb2': 0.39404949999999994, 'zb2': 0.48284999999999995}",AB2_2_a_ab_26,26,"['Ca', 'F', 'F']","['a', 'a', 'b']",AB2,CaF2
1177.0,17554-22011-BeCl2,"{'a': 11.13897372630106, 'c': 0.7374656950395124, 'xa0': 0.22053833333333328, 'ya0': 0.6301386666666667, 'za0': 0.969696, 'xa1': 0.11283633333333332, 'ya1': 0.07626066666666675, 'za1': 0.914652, 'xa2': 0.060654333333333366, 'ya2': 0.3333376666666668, 'za2': 0.7755059999999999, 'xa3': 0.11358633333333334, 'ya3': 0.25441766666666665, 'za3': 0.968355, 'xa4': 0.2196863333333332, 'ya4': 0.8075066666666668, 'za4': 0.915851, 'xa5': 0.3867963333333333, 'ya5': 0.6197266666666668, 'za5': 0.880514, 'xa6': 0.0321393333333333, 'ya6': 0.48257666666666676, 'za6': 0.879228, 'xa7': 0.8829383333333334, 'ya7': 0.18402966666666654, 'za7': 0.6716439999999999, 'xa8': 0.10029333333333335, 'ya8': 0.0469966666666668, 'za8': 0.6705129999999999}",AB2_9_a3_a6_145,145,"['Be', 'Be', 'Be', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl']","['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']",AB2,BeCl2
841.0,17385-21834-SiO2,"{'a': 10.644569, 'b': 0.44196707259824236, 'xe0': 0.6736255, 'ye0': 0.9372995000000001, 'ze0': 0.7131055000000001, 'xe1': 0.40287150000000005, 'ye1': 0.6581465000000001, 'ze1': 0.5248855000000001, 'xe2': 0.7908115, 'ye2': 0.8367035, 'ze2': 0.7408275, 'xe3': 0.5378845, 'ye3': 0.6300405000000001, 'ze3': 0.6825475000000001, 'xe4': 0.7821575000000001, 'ye4': 0.5748955000000001, 'ze4': 0.6730445, 'xe5': 0.05573549999999994, 'ye5': 0.6216235000000001, 'ze5': 0.6081835}",AB2_16_e2_e4_114,114,"['Si', 'Si', 'O', 'O', 'O', 'O']","['e', 'e', 'e', 'e', 'e', 'e']",AB2,SiO2
1385.0,290683-686948-SiO2,"{'a': 4.832335, 'b': 3.052723372862195, 'c': 4.294646376958557, 'xh0': 0.5080665, 'yh0': 0.3165395, 'zh0': 0.9342320000000001, 'yf2': 0.8805495, 'zg3': 0.7937255, 'zg4': 0.338365}",AB2_8_h_cfg2_70,70,"['Si', 'O', 'O', 'O', 'O']","['h', 'c', 'f', 'g', 'g']",AB2,SiO2
350.0,17212-21654-SiO2,"{'a': 9.506675, 'b': 0.4350739874877389, 'xm0': 0.148621, 'zm0': 0.181603, 'xk3': 0.308362}",AB2_8_m_efk_125,125,"['Si', 'O', 'O', 'O']","['m', 'e', 'f', 'k']",AB2,SiO2
483.0,284443-646695-MgCl2,"{'a': 6.260264, 'b': 0.5817518238847434, 'c': 0.965277662411681, 'ze1': 0.293813, 'zf2': 0.819186}",AB2_2_a_ef_51,51,"['Mg', 'Cl', 'Cl']","['a', 'e', 'f']",AB2,MgCl2
1157.0,20075-24806-PdCl2,"{'a': 13.163075324068707, 'c': 0.6592597114340708, 'xf0': 0.16731799999999997, 'yf0': 0.071937, 'zf0': 0.15900000000000003, 'xf1': 0.40624899999999997, 'yf1': 0.096362, 'zf1': 0.33380400000000005, 'xf2': 0.0716483333333333, 'yf2': 0.9046026666666667, 'zf2': 0.3135266666666668}",AB2_6_f_f2_148,148,"['Pd', 'Cl', 'Cl']","['f', 'f', 'f']",AB2,PdCl2
313.0,24311-29184-CeSb2,"{'a': 6.358586, 'b': 0.9784930171582172, 'c': 2.9380428290189045, 'yf0': 0.636762, 'zf0': 0.889359, 'ye1': 0.12615299999999996, 'yf2': 0.13231700000000002, 'zf2': 0.937286}",AB2_4_f_ef_64,64,"['Ce', 'Sb', 'Sb']","['f', 'e', 'f']",AB2,CeSb2
392.0,2327-4136-ThI2,"{'a': 3.9658232682937777, 'c': 8.680926171178474, 'ze2': 0.184143, 'zf3': 0.06638}",AB2_4_ac_ef_194,194,"['Th', 'Th', 'I', 'I']","['a', 'c', 'e', 'f']",AB2,ThI2
672.0,114-1721-TmCl2,"{'a': 6.218935, 'b': 1.9727332734624177, 'c': 1.1373038952811052, 'xc0': 0.679373, 'yc0': 0.4023015, 'zc0': 0.452045, 'xc1': 0.5198389999999999, 'yc1': 0.4559994999999999, 'zc1': 0.794299, 'xc2': 0.689685, 'yc2': 0.7915524999999999, 'zc2': 0.124561}",AB2_8_c_c2_61,61,"['Tm', 'Cl', 'Cl']","['c', 'c', 'c']",AB2,TmCl2
1374.0,17205-21647-SiO2,"{'a': 9.040656, 'b': 1.1036387182523038, 'c': 0.9833178034868265, 'xg0': 0.833991, 'yg0': 0.863367, 'zg0': 0.09483849999999983, 'xd2': 0.8387435000000001, 'ye3': 0.394146, 'yf4': 0.8111925, 'zf4': 0.13133850000000002}",AB2_8_g_cdef_64,64,"['Si', 'O', 'O', 'O', 'O']","['g', 'c', 'd', 'e', 'f']",AB2,SiO2
1381.0,5601-7720-CdI2,"{'a': 4.289590355230414, 'c': 4.83805078857114, 'za0': 0.41669, 'za1': 0.749995, 'zb2': 0.083301, 'za3': -0.000268000000000046, 'zb4': 0.333041, 'zb5': 0.666425, 'zc6': 0.166964, 'zc7': 0.500272, 'zc8': 0.833578}",AB2_3_a2b_ab2c3_156,156,"['Cd', 'Cd', 'Cd', 'I', 'I', 'I', 'I', 'I', 'I']","['a', 'a', 'b', 'a', 'b', 'b', 'c', 'c', 'c']",AB2,CdI2
1463.0,31430-290110-Sr2Mg,"{'a': 7.029133033195559, 'b': 1.0032362526846001, 'c': 1.0032926404514682, 'alpha': 74.4311366397099, 'beta': 60.20267785377431, 'gamma': 60.19182696628627, 'xi0': 0.2500090000000001, 'yi0': 0.49922900000000003, 'zi0': 0.5007669999999997, 'xi1': 0.6665110000000001, 'yi1': 0.6676320000000002, 'zi1': 0.9974949999999999, 'xi2': 0.1664670000000001, 'yi2': 0.9974970000000001, 'zi2': 0.6676929999999996}",AB2_2_i_i2_2,2,"['Mg', 'Sr', 'Sr']","['i', 'i', 'i']",AB2,Sr2Mg
125.0,29901-92511-CdI2,"{'a': 4.289490250151227, 'c': 13.00698189051193, 'za0': 0.281277, 'za1': 0.5313, 'za2': 0.781248, 'zb3': 0.031224, 'zb4': 0.406296, 'zb5': 0.656295, 'zb6': 0.906275, 'zc7': 0.156234, 'za8': 0.062218, 'za9': 0.187109, 'za10': 0.437162, 'za11': 0.687164, 'za12': 0.937167, 'zb13': 0.125324, 'zb14': 0.312182, 'zb15': 0.562212, 'zb16': 0.812165, 'zc17': 0.000305, 'zc18': 0.250365, 'zc19': 0.375286, 'zc20': 0.500315, 'zc21': 0.625311, 'zc22': 0.750283, 'zc23': 0.875284}",AB2_8_a3b4c_a5b4c7_156,156,"['Cd', 'Cd', 'Cd', 'Cd', 'Cd', 'Cd', 'Cd', 'Cd', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I']","['a', 'a', 'a', 'b', 'b', 'b', 'b', 'c', 'a', 'a', 'a', 'a', 'a', 'b', 'b', 'b', 'b', 'c', 'c', 'c', 'c', 'c', 'c', 'c']",AB2,CdI2
207.0,462-2091-BaCl2,"{'a': 8.136833254969005, 'c': 0.5742504305525182, 'xf2': 0.5910049999999993, 'xg3': 0.25755999999999935}",AB2_3_ad_fg_189,189,"['Ba', 'Ba', 'Cl', 'Cl']","['a', 'd', 'f', 'g']",AB2,BaCl2
231.0,30199-104526-SiO2,"{'a': 4.796488, 'b': 1.5153908443010802, 'xd1': 0.8725609999999999}",AB2_2_a_d_122,122,"['Si', 'O']","['a', 'd']",AB2,SiO2
436.0,69-1674-SnF2,"{'a': 12.644232867141328, 'b': 0.3659512639967801, 'c': 1.062884757818223, 'beta': 108.21169926139044, 'xf0': 0.3697344999999999, 'yf0': 0.46481150000000004, 'zf0': 0.057509, 'xf1': 0.1100879999999998, 'yf1': 0.552034, 'zf1': 0.184811, 'xf2': 0.1751534999999999, 'yf2': 0.6636275000000001, 'zf2': 0.042969, 'xf3': 0.5360879999999999, 'yf3': 0.6700350000000002, 'zf3': 0.078835, 'xf4': 0.38923799999999986, 'yf4': 0.775609, 'zf4': 0.180896, 'xf5': 0.24452499999999988, 'yf5': 0.2650380000000001, 'zf5': 0.190447}",AB2_8_f2_f4_15,15,"['Sn', 'Sn', 'F', 'F', 'F', 'F']","['f', 'f', 'f', 'f', 'f', 'f']",AB2,SnF2
893.0,284584-646852-TaS2,"{'a': 3.3480557621491975, 'c': 10.965527042606055, 'za0': 0.08306699999999996, 'za1': 0.9166673333333333, 'za2': 0.3740553333333333, 'za3': 0.458858, 'za4': 0.20791433333333326, 'za5': 0.62544}",AB2_2_a2_a4_160,160,"['Ta', 'Ta', 'S', 'S', 'S', 'S']","['a', 'a', 'a', 'a', 'a', 'a']",AB2,TaS2
376.0,28561-60902-SiO2,"{'a': 13.677517971498924, 'b': 0.34827897941178554, 'c': 0.6314174425933867, 'beta': 129.0177338432593, 'ye0': 0.9679675, 'xf1': 0.333503, 'yf1': 0.772439, 'zf1': 0.8485364999999999, 'xf2': 0.1096, 'yf2': 0.831426, 'zf2': 0.9302704999999999, 'xf3': 0.295225, 'yf3': 0.10166099999999993, 'zf3': 0.8222565, 'xf4': 0.938453, 'yf4': 0.23300300000000002, 'zf4': 0.8191375}",AB2_6_ef_f3_15,15,"['Si', 'Si', 'O', 'O', 'O']","['e', 'f', 'f', 'f', 'f']",AB2,SiO2
858.0,20541-25286-ZrIn2,"{'a': 4.415266, 'b': 6.201597819927497, 'ze0': 0.9223264999999999, 'ze1': 0.25056199999999995, 'ze2': 0.41220199999999996}",AB2_4_e_e2_141,141,"['Zr', 'In', 'In']","['e', 'e', 'e']",AB2,ZrIn2
1280.0,15083-19294-MnO2,"{'a': 13.849704103429538, 'b': 0.20876063332530315, 'c': 0.3159038708708573, 'beta': 90.64881124549859, 'xi1': 0.659198, 'zi1': 0.504222, 'xi2': 0.552632, 'zi2': 0.774654, 'xi3': 0.110675, 'zi3': 0.266516, 'xi4': 0.2216125, 'zi4': 0.71954}",AB2_3_ai_i3_12,12,"['Mn', 'Mn', 'O', 'O', 'O']","['a', 'i', 'i', 'i', 'i']",AB2,MnO2
829.0,304792-711542-FeO2,"{'a': 5.399271781600923, 'b': 2.077620918848039, 'c': 0.9272651590927808, 'beta': 120.87970984078265, 'ye0': 0.05966900000000008, 'ye1': 0.317665, 'xf2': 0.285196, 'yf2': 0.5578480000000001, 'zf2': 0.8158049999999999, 'xf3': 0.7548390000000001, 'yf3': 0.6810280000000001, 'zf3': 0.2897550000000001}",AB2_4_e2_f2_15,15,"['Fe', 'Fe', 'O', 'O']","['e', 'e', 'f', 'f']",AB2,FeO2
331.0,285260-648372-Sc2Te,"{'a': 20.121537, 'b': 0.19456535551931245, 'c': 0.5310677807565098, 'xc0': 0.7644529999999999, 'zc0': 0.032381, 'xc1': 0.07459300000000013, 'zc1': 0.646667, 'xc2': 0.873573, 'zc2': 0.723033, 'xc3': 0.33669400000000005, 'zc3': 0.03457, 'xc4': 0.13711899999999977, 'zc4': 0.069791, 'xc5': 0.4899150000000001, 'zc5': 0.606567, 'xc6': 0.532634, 'zc6': 0.119189, 'xc7': 0.8934089999999999, 'zc7': 0.156788, 'xc8': 0.7275070000000001, 'zc8': 0.747332}",AB2_12_c3_c6_62,62,"['Te', 'Te', 'Te', 'Sc', 'Sc', 'Sc', 'Sc', 'Sc', 'Sc']","['c', 'c', 'c', 'c', 'c', 'c', 'c', 'c', 'c']",AB2,Sc2Te
1317.0,29524-78037-CuO2,"{'a': 2.806833, 'b': 2.0416462254790675, 'c': 3.032190372565827, 'zi1': 0.63018}",AB2_1_a_i_69,69,"['Cu', 'O']","['a', 'i']",AB2,CuO2
