,name,param,proto_name,spacegroup,species,wyckoffs,proto_compo,name_short
483.0,5602-7721-CdI2,"{'a': 7.431439291652795, 'b': 0.5773555686625842, 'c': 4.694181391478816, 'beta': 90.00514907487192, 'xa0': 0.3333379999999999, 'za0': 0.049935999999999994, 'xa1': -4.999999999588667e-07, 'za1': 0.24995699999999998, 'xa2': 0.3333379999999999, 'za2': 0.44998999999999995, 'xa3': -4.999999999588667e-07, 'za3': 0.6500069999999999, 'xa4': -4.999999999588667e-07, 'za4': 0.8499769999999999, 'xa5': -4.999999999588667e-07, 'za5': 0.0005739999999999999, 'xa6': 0.666671, 'za6': 0.09943299999999998, 'xa7': 0.333317, 'za7': 0.20055799999999996, 'xa8': 0.666684, 'za8': 0.29945999999999995, 'xa9': -4.999999999588667e-07, 'za9': 0.40059399999999995, 'xa10': 0.666672, 'za10': 0.49946299999999993, 'xa11': 0.33331849999999996, 'za11': 0.6005829999999999, 'xa12': 0.6666805, 'za12': 0.6994609999999999, 'xa13': 0.333317, 'za13': 0.8005379999999999, 'xa14': 0.666684, 'za14': 0.8994699999999999}",AB2_5_a5_a10_8,8,"['Cd', 'Cd', 'Cd', 'Cd', 'Cd', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I']","['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']",AB2,CdI2
1260.0,20248-24986-MoBr2,"{'a': 14.870974, 'b': 0.7967209141781836, 'c': 0.7979843149480323, 'xd0': 0.126209, 'yf1': 0.856697, 'zf1': 0.93419, 'yf2': 0.066048, 'zf2': 0.8568, 'xd3': 0.299041, 'yf4': 0.6458075000000001, 'zf4': 0.854029, 'xg5': 0.375603, 'yg5': 0.707789, 'zg5': 0.922906, 'xg6': 0.12423150000000001, 'yg6': 0.9228975, 'zg6': 0.792548}",AB2_12_df2_dfg2_64,64,"['Mo', 'Mo', 'Mo', 'Br', 'Br', 'Br', 'Br']","['d', 'f', 'f', 'd', 'f', 'g', 'g']",AB2,MoBr2
1181.0,14985-19191-CaGe2,"{'a': 4.030227640147684, 'c': 7.54883612452352, 'zc0': 0.08086600000000001, 'zc1': 0.35055233333333335, 'zc2': 0.8148843333333333}",AB2_2_c_c2_166,166,"['Ca', 'Ge', 'Ge']","['c', 'c', 'c']",AB2,CaGe2
1367.0,21158-25915-BaAs2,"{'a': 6.660245604602957, 'b': 1.9091758404843426, 'c': 1.2292439109062638, 'beta': 127.88976874260521, 'xa0': 0.552866, 'ya0': 0.918876, 'za0': 0.508444, 'xa1': 0.82721, 'ya1': 0.22622600000000004, 'za1': 0.646391, 'xa2': 0.104458, 'ya2': 0.576109, 'za2': 0.8540860000000001, 'xa3': 0.004854, 'ya3': 0.987738, 'za3': 0.99422, 'xa4': 0.212177, 'ya4': 0.154169, 'za4': 0.174848, 'xa5': 0.258425, 'ya5': 0.841377, 'za5': 0.011665000000000036, 'xa6': 0.529731, 'ya6': 0.38987799999999995, 'za6': 0.242821, 'xa7': 0.672596, 'ya7': 0.576973, 'za7': 0.32903200000000005, 'xa8': 0.383784, 'ya8': 0.34270500000000004, 'za8': 0.8851930000000001}",AB2_6_a3_a6_7,7,"['Ba', 'Ba', 'Ba', 'As', 'As', 'As', 'As', 'As', 'As']","['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']",AB2,BaAs2
226.0,11968-15938-LaTe2,"{'a': 9.249385101862124, 'b': 0.9905746056735627, 'c': 0.987132485631567, 'beta': 90.1338429026435, 'xa0': 0.2739719999999999, 'ya0': 0.9965204999999999, 'za0': 0.994775, 'xa1': 0.727795, 'ya1': 0.7496504999999998, 'za1': 0.7522249999999999, 'xa2': 0.7254729999999999, 'ya2': 0.24950949999999983, 'za2': 0.7520319999999999, 'xa3': 0.2745519999999999, 'ya3': 0.5033494999999997, 'za3': 0.5089699999999999, 'xa4': 0.0, 'ya4': 0.4988094999999999, 'za4': 0.770017, 'xa5': 0.36625699999999994, 'ya5': 0.7501074999999999, 'za5': 0.7521929999999999, 'xa6': 0.36557099999999987, 'ya6': 0.2495854999999998, 'za6': 0.752107, 'xa7': 0.0, 'ya7': -5.00000000069889e-07, 'za7': 0.733854, 'xa8': 0.633987, 'ya8': 0.5008994999999998, 'za8': 0.5036859999999999, 'xa9': -0.0003970000000000001, 'ya9': 0.2587364999999999, 'za9': 0.502597, 'xa10': -0.00017400000000000003, 'ya10': 0.7588575, 'za10': 0.5013349999999999, 'xa11': 0.6338139999999999, 'ya11': 0.0009624999999999773, 'za11': 0.5005109999999999}",AB2_8_a4_a8_7,7,"['La', 'La', 'La', 'La', 'Te', 'Te', 'Te', 'Te', 'Te', 'Te', 'Te', 'Te']","['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']",AB2,LaTe2
594.0,29538-78494-CoO2,"{'a': 2.6399925004751434, 'b': 1.0028123184151168, 'c': 1.9539540224460266, 'beta': 103.04975828186076, 'xm1': 0.606287, 'zm1': 0.23993000000000003}",AB2_1_a_m_10,10,"['Co', 'O']","['a', 'm']",AB2,CoO2
1031.0,14634-18796-CeSe2,"{'a': 8.652390440951043, 'b': 0.4904665397339079, 'c': 0.983728261456726, 'beta': 90.15999987786189, 'xa0': 0.0015829999999999996, 'ya0': 0.9734175, 'za0': -0.0004159999999999999, 'xa1': 0.5518809999999998, 'ya1': 0.47609250000000003, 'za1': 0.7520120000000001, 'xa2': 0.27857899999999997, 'ya2': 0.9380234999999999, 'za2': 0.744307, 'xa3': 0.6443979999999999, 'ya3': 0.0055275000000001295, 'za3': 0.5005280000000001, 'xa4': 0.9092309999999998, 'ya4': 0.5049215, 'za4': 0.25097100000000006, 'xa5': 0.27532799999999996, 'ya5': 0.4309224999999999, 'za5': 0.007597999999999994}",AB2_4_a2_a4_7,7,"['Ce', 'Ce', 'Se', 'Se', 'Se', 'Se']","['a', 'a', 'a', 'a', 'a', 'a']",AB2,CeSe2
1130.0,389-2017-GeS2,"{'a': 6.807800398085273, 'b': 2.3919599647163494, 'c': 1.7182898108432632, 'beta': 90.94446139747302, 'xe0': 0.16115600000000008, 'ye0': 0.497581, 'ze0': 0.793485, 'xe1': 0.17055300000000007, 'ye1': 0.848564, 'ze1': 0.779488, 'xe2': 0.657711, 'ye2': 0.152901, 'ze2': 0.7779109999999999, 'xe3': 0.6728620000000001, 'ye3': 0.807591, 'ze3': 0.7771969999999999, 'xe4': 0.9206730000000001, 'ye4': 0.832377, 'ze4': 0.90066, 'xe5': 0.4265040000000001, 'ye5': 0.831342, 'ze5': 0.899011, 'xe6': 0.22912500000000013, 'ye6': 0.61214, 'ze6': 0.892968, 'xe7': 0.721152, 'ye7': 0.037312, 'ze7': 0.876811, 'xe8': 0.32243600000000006, 'ye8': 0.390778, 'ze8': 0.8749119999999999, 'xe9': 0.82726, 'ye9': 0.256321, 'ze9': 0.8617009999999999, 'xe10': 0.836234, 'ye10': 0.474201, 'ze10': 0.799388, 'xe11': 0.33349800000000007, 'ye11': 0.177788, 'ze11': 0.7859729999999999}",AB2_16_e4_e8_14,14,"['Ge', 'Ge', 'Ge', 'Ge', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']","['e', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'e', 'e']",AB2,GeS2
1148.0,304834-711598-CuO2,"{'a': 2.7715510137226413, 'b': 1.1181033857660236, 'c': 1.376529952449273, 'alpha': 96.5862117189606, 'beta': 90.00732632695619, 'gamma': 116.54467866145495, 'xa0': 0.50003, 'ya0': 0.000281, 'za0': 2.9008777801750594e-21, 'xa1': 0.886841, 'ya1': 0.774304, 'za1': 0.258321, 'xa2': 0.113226, 'ya2': 0.22594399999999998, 'za2': 0.741971}",AB2_1_a_a2_1,1,"['Cu', 'O', 'O']","['a', 'a', 'a']",AB2,CuO2
116.0,283934-646100-CdI2,"{'a': 4.2894309654431515, 'c': 6.451797971095796, 'zd2': 0.7500040000000001, 'zc3': 0.812697, 'zd4': 0.5626990000000001, 'zd5': 0.3127, 'zd6': 0.06269900000000006}",AB2_4_abd_cd3_164,164,"['Cd', 'Cd', 'Cd', 'I', 'I', 'I', 'I']","['a', 'b', 'd', 'c', 'd', 'd', 'd']",AB2,CdI2
